队名,总得分,平均得分,总失分,平均失分,场均净胜分,srs,总场数,胜场数,负场数,胜率
0,7606.0,98.77922077922078,7091.0,92.0909090909091,6.688311688311688,6.656156343656344,77.0,55.0,22.0,0.7142857142857143
1,5105.0,94.53703703703704,4774.0,88.4074074074074,6.12962962962963,6.100160256410256,54.0,37.0,17.0,0.6851851851851852
2,7115.0,93.61842105263158,7154.0,94.13157894736842,-0.5131578947368421,-0.5106907894736843,76.0,42.0,34.0,0.5526315789473685
3,6615.0,93.16901408450704,6527.0,91.92957746478874,1.2394366197183098,1.2334777898158178,71.0,38.0,33.0,0.5352112676056338
4,7888.0,99.84810126582279,7658.0,96.9367088607595,2.911392405063291,2.897395326192794,79.0,46.0,33.0,0.5822784810126582
5,7013.0,101.6376811594203,7098.0,102.8695652173913,-1.2318840579710144,-1.2259615384615383,69.0,36.0,33.0,0.5217391304347826
6,7762.0,102.13157894736842,7756.0,102.05263157894737,0.07894736842105263,0.07856781376518218,76.0,39.0,37.0,0.5131578947368421
7,5877.0,96.34426229508196,6454.0,105.80327868852459,-9.459016393442623,-9.413540353089534,61.0,14.0,47.0,0.22950819672131148
8,4946.0,91.5925925925926,5445.0,100.83333333333333,-9.24074074074074,-9.196314102564102,54.0,15.0,39.0,0.2777777777777778
9,6908.0,95.94444444444444,7314.0,101.58333333333333,-5.638888888888889,-5.611778846153846,72.0,19.0,53.0,0.2638888888888889
10,7121.0,98.90277777777777,7337.0,101.90277777777777,-3.0,-2.985576923076923,72.0,31.0,41.0,0.4305555555555556
11,8554.0,101.83333333333333,8250.0,98.21428571428571,3.619047619047619,3.6016483516483513,84.0,53.0,31.0,0.6309523809523809
12,9212.0,104.68181818181819,8587.0,97.57954545454545,7.1022727272727275,7.068127185314685,88.0,63.0,25.0,0.7159090909090909
13,8939.0,110.35802469135803,8693.0,107.32098765432099,3.037037037037037,3.022435897435898,81.0,49.0,32.0,0.6049382716049383
14,5869.0,97.81666666666666,6085.0,101.41666666666667,-3.6,-3.582692307692308,60.0,23.0,37.0,0.38333333333333336
15,4585.0,89.90196078431373,4865.0,95.3921568627451,-5.490196078431373,-5.463800904977376,51.0,18.0,33.0,0.35294117647058826
16,6377.0,95.17910447761194,6609.0,98.64179104477611,-3.462686567164179,-3.4460390355912742,67.0,25.0,42.0,0.373134328358209
17,7036.0,100.51428571428572,7266.0,103.8,-3.2857142857142856,-3.269917582417582,70.0,26.0,44.0,0.37142857142857144
18,6332.0,98.9375,6427.0,100.421875,-1.484375,-1.4772385817307692,64.0,23.0,41.0,0.359375
19,7699.0,101.30263157894737,7637.0,100.48684210526316,0.8157894736842105,0.8118674089068827,76.0,40.0,36.0,0.5263157894736842
20,6905.0,101.54411764705883,6984.0,102.70588235294117,-1.161764705882353,-1.156179298642534,68.0,31.0,37.0,0.45588235294117646
21,6633.0,99.0,6754.0,100.80597014925372,-1.8059701492537314,-1.7972876004592424,67.0,28.0,39.0,0.417910447761194
22,5707.0,96.72881355932203,5562.0,94.27118644067797,2.457627118644068,2.445811603650587,59.0,37.0,22.0,0.6271186440677966
23,7431.0,94.0632911392405,7230.0,91.51898734177215,2.5443037974683542,2.532071567672833,79.0,46.0,33.0,0.5822784810126582
24,8414.0,95.61363636363636,8094.0,91.97727272727273,3.6363636363636362,3.618881118881119,88.0,57.0,31.0,0.6477272727272727
25,6480.0,98.18181818181819,6471.0,98.04545454545455,0.13636363636363635,0.13570804195804195,66.0,30.0,36.0,0.45454545454545453
